stop_loss_factor,stop_rate,total_pnl,avg_trade_return_pct,win_rate,max_drawdown,sharpe_ratio,worst_trade_pnl,tail_loss_5pct,return_on_capital,num_trades
1.0,0.16981132075471697,1281.264210499044,0.0004895246984443237,0.7924528301886793,-2311.2373873097463,0.37189738824172014,-1206.505122332701,-424.08491440254534,0.0007769004429414529,53
1.05,0.1509433962264151,1689.0198575953345,0.000802268713704556,0.8113207547169812,-1903.4817402134559,0.6069185808517485,-1206.505122332701,-424.08491440254534,0.0010241449536716799,53
1.1,0.1509433962264151,1317.1918192506528,0.0005809556737993827,0.8113207547169812,-1903.4817402134559,0.42977802409765475,-1206.505122332701,-518.9399441548528,0.0007986853136373107,53
1.15,0.1509433962264151,1317.1918192506528,0.0005809556737993827,0.8113207547169812,-1903.4817402134559,0.42977802409765475,-1206.505122332701,-518.9399441548528,0.0007986853136373107,53
1.2,0.1320754716981132,1679.7621798228433,0.0007901590438139177,0.8301886792452831,-1903.4817402134559,0.5874338929429987,-1206.505122332701,-518.9399441548528,0.0010185315182044891,53
1.25,0.1320754716981132,1679.1591837514284,0.0007897955523006166,0.8301886792452831,-1904.0847362848708,0.5871463361287307,-1206.505122332701,-518.9399441548528,0.0010181658887651155,53
1.3,0.1320754716981132,1679.1591837514284,0.0007897955523006166,0.8301886792452831,-1904.0847362848708,0.5871463361287307,-1206.505122332701,-518.9399441548528,0.0010181658887651155,53
1.35,0.1320754716981132,1679.1591837514284,0.0007897955523006166,0.8301886792452831,-1904.0847362848708,0.5871463361287307,-1206.505122332701,-518.9399441548528,0.0010181658887651155,53
1.4,0.11320754716981132,896.1400550922359,0.000344328941618215,0.8490566037735849,-2687.1038649440634,0.21613067555968837,-1424.3546565285678,-697.8735654704718,0.0005433786412152777,53
1.45,0.11320754716981132,896.1400550922359,0.000344328941618215,0.8490566037735849,-2687.1038649440634,0.21613067555968837,-1424.3546565285678,-697.8735654704718,0.0005433786412152777,53
1.5,0.11320754716981132,650.6857414780975,0.00013861487463596992,0.8490566037735849,-2932.5581785582026,0.08313479114780206,-1424.3546565285678,-812.7532984226683,0.00039454629000612265,53
1.55,0.11320754716981132,650.6857414780975,0.00013861487463596992,0.8490566037735849,-2932.5581785582026,0.08313479114780206,-1424.3546565285678,-812.7532984226683,0.00039454629000612265,53
1.6,0.11320754716981132,650.6857414780975,0.00013861487463596992,0.8490566037735849,-2932.5581785582026,0.08313479114780206,-1424.3546565285678,-812.7532984226683,0.00039454629000612265,53
1.65,0.07547169811320754,879.9112461072282,0.00027468448114906756,0.8490566037735849,-2849.711004857169,0.16564765695936778,-1424.3546565285678,-812.7532984226683,0.0005335382282968883,53
1.7,0.05660377358490566,658.6308722882301,-0.0001148098371382911,0.8679245283018868,-3070.991378676168,-0.04841424020312162,-2099.9673261035127,-735.9671307752735,0.00039936385659000126,53
1.75,0.05660377358490566,658.6308722882301,-0.0001148098371382911,0.8679245283018868,-3070.991378676168,-0.04841424020312162,-2099.9673261035127,-735.9671307752735,0.00039936385659000126,53
